wave,st_loss,non_st_loss,total,prevalence,odds_ratio,p_value,CI_95,ordinal
wave_omicron_L,100,138116,138216,7.00E-04,0.3257,0,"(-, -)",4
wave_omicron_B,202,276266,276468,7.00E-04,0.3289,0,"(-, -)",6
wave_omicron_K,514,463128,463642,0.0011,0.4992,0,"(-, -)",3
wave_omicron_C,111,129819,129930,9.00E-04,0.3846,0,"(-, -)",5
wave_delta_J,1326,879053,880379,0.0015,0.6785,0,"(-, -)",2
wave_alpha,578,407569,408147,0.0014,0.6379,0,"(-, -)",1
wave_untyped,6475,2912564,2919039,0.0022,-,-,-,0
